DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2019,5.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2020,5.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2021,6.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2022,5.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2023,5.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2024,5.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,2025,6.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2015,10.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2016,8.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2017,7.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2018,6.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2019,5.2,b,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2020,6.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2021,5.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2022,4.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2023,4.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2024,4.2,b,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,2025,3.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2015,4.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2016,5.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2017,4.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2018,4.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2019,4.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2020,4.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2021,5.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2022,4.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2023,4.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2024,4.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,2025,4.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2015,15.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2016,13.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2017,11.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2018,8.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2019,7.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2020,7.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2021,7.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2022,6.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2023,5.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2024,4.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,2025,4.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2015,5.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2016,4.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2017,2.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2018,2.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2019,2.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2020,2.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2021,2.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2022,2.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2023,2.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2024,2.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,2025,2.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2015,4.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2016,3.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2017,3.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2018,3.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2019,2.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2020,3.6,b,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2021,3.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2022,3.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2023,3.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2024,3.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,2025,3.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2015,6.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2016,6.0,b,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2017,5.8,b,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2018,5.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2019,5.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2020,5.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2021,5.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2022,4.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2023,5.1,b,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2024,6.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,2025,6.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2015,11.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2016,10.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2017,9.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2018,8.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2019,7.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2020,8.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2021,7.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2022,6.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2023,6.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2024,6.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (2023-2025),2025,6.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2015,11.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2016,10.1,,
