...2,Perioden
NA,"2001"";""2010"";""2020"";""2021"";""2022"";""2023"";""2024"";""2025"
o/oo,"12,6"";""11,1"";""9,7"";""10,2"";""9,5"";""9,2"";""9,2"";""."
aantal,"3569"";""2536"";""1194"";""1022"";""1075"";""980"";""1032"";""."
aantal,"4344"";""6088"";""6261"";""6761"";""6443"";""6507"";""6655"";""."
per 10 000 personen,"87,5"";""81,9"";""96,7"";""97,5"";""96,1"";""95,3"";""95,7"";""."
per 10 000 personen,"23,5"";""25,5"";""25,9"";""25,7"";""25,8"";""25,6"";""25,3"";""."
per 10 000 personen,"29,7"";""23,5"";""21,0"";""21,4"";""22,1"";""21,8"";""21,2"";""."
aantal,"996"";""597"";""590"";""559"";""719"";""646"";""640"";""."
aantal,"1473"";""1600"";""1823"";""1862"";""1916"";""1863"";""1849"";""."
per 10 000 personen,""";"""";""11,6"";""11,2"";""4,7"";""1,7"";""0,7"";""."
jaren,"75,8"";""78,8"";""79,7"";""79,7"";""80,1"";""80,3"";""80,5"";""."
jaren,"80,7"";""82,7"";""83,1"";""83,0"";""83,1"";""83,3"";""83,3"";""."
jaren,"61,8"";""63,9"";""66,4"";""65,4"";""63,2"";""64,1"";""63,5"";""."
jaren,"61,6"";""63,0"";""65,8"";""65,1"";""62,3"";""62,4"";""62,0"";""."
%,"19,2"";""19,7"";""18,5"";""19,5"";""22,8"";""22,5"";""23,4"";""."
per 10 000 personen,"."";""."";""264"";""266"";""266"";""266"";""267"";""."
per 10 000 personen,"113"";""209"";""252"";""263"";""254"";""251"";""."";""."
per 10 000 personen,"168"";""234"";""181"";""186"";""186"";""188"";""."";""."
%,"5,5"";""4,2"";""4,7"";""4,9"";""5,6"";""5,3"";""5,2"";""."
dagen,"8,2"";""5,6"";""5,3"";""5,2"";""5,2"";""5,1"";""."";""."
%,"."";""4,4"";""4,7"";""4,7"";""4,9"";""5,0"";""5,3"";""."
%,"."";""5,5"";""5,9"";""6,0"";""6,0"";""6,0"";""6,1"";""."
aantal,"4,0"";""4,2"";""5,1"";""4,9"";""5,5"";""5,7"";""5,9"";""."
aantal,"516637"";""647994"";""822088"";""838661"";""853107"";""872617"";""900679"";""932295"
x 1 000,"."";""325"";""312"";""340"";""357"";""369"";""376"";""."
x 1 000,"."";""74"";""101"";""105"";""110"";""116"";""121"";""."
%,"."";""."";""9,8"";""10,6"";""10,8"";""11,0"";""11,1"";""."
%,"."";""."";""9,5"";""10,4"";""10,6"";""10,8"";""10,9"";""."
%,"9,8"";""4,9"";""3,0"";""2,5"";""2,3"";""2,5"";""2,1"";""."
%,"13,6"";""9,4"";""7,4"";""8,1"";""8,0"";""7,7"";""7,0"";""."
%,"9,6"";""11,4"";""14,2"";""14,6"";""15,5"";""15,7"";""16,0"";""."
aantal,"33495"";""43865"";""59175"";""60825"";""61660"";""62320"";""."";""."
aantal,"154005"";""178490"";""177735"";""181165"";""184200"";""181080"";""."";""."
x 1 000,"1047"";""1390"";""1530"";""1565"";""1589"";""1617"";""1653"";""."
aantal,"."";""."";""6540"";""6980"";""6030"";""6400"";""5650"";""."
aantal,"."";""."";""5990"";""6200"";""6170"";""6390"";""6420"";""."
aantal,"2512"";""2622"";""4670"";""5010"";""5040"";""5140"";""5520"";""."
aantal,"2996"";""3699"";""2560"";""2800"";""2560"";""2570"";""2650"";""."
miljard euro,"50,8"";""85,8"";""116,4"";""128,9"";""132,7"";""142,2"";""154,9"";""."
euro,"3164"";""5163"";""6673"";""7353"";""7496"";""7956"";""8610"";""."
%,"10,5"";""13,4"";""14,6"";""14,5"";""13,4"";""13,5"";""13,8"";""."
km,"."";""0,9"";""1,0"";""1,0"";""1,1"";""1,1"";""1,1"";""."
km,"."";""1,2"";""1,2"";""1,2"";""1,3"";""1,3"";""1,3"";""."
NA,NA
